Date,Month,Day,hour,Overall Hour,Season,weekday,Weighted (MW)
01/01/2017,1,1,1,1,1,1,20644.6929367163
01/01/2017 01:00:00,1,1,2,2,1,1,20530.6918162893
01/01/2017 02:00:00,1,1,3,3,1,1,20114.6065909292
01/01/2017 03:00:00,1,1,4,4,1,1,20611.4711844519
01/01/2017 04:00:00,1,1,5,5,1,1,21029.0182488249
01/01/2017 05:00:00,1,1,6,6,1,1,22466.160941727
01/01/2017 06:00:00,1,1,7,7,1,1,23237.8236285559
01/01/2017 07:00:00,1,1,8,8,1,1,23263.8124296302
01/01/2017 08:00:00,1,1,9,9,1,1,23766.5128615604
01/01/2017 09:00:00,1,1,10,10,1,1,24231.970594547
01/01/2017 10:00:00,1,1,11,11,1,1,24592.0215977771
01/01/2017 11:00:00,1,1,12,12,1,1,24540.2979457301
01/01/2017 12:00:00,1,1,13,13,1,1,24261.8512380587
01/01/2017 13:00:00,1,1,14,14,1,1,24013.613550441
01/01/2017 14:00:00,1,1,15,15,1,1,23567.0228211052
01/01/2017 15:00:00,1,1,16,16,1,1,23246.500269265
01/01/2017 16:00:00,1,1,17,17,1,1,23690.3927375731
01/01/2017 17:00:00,1,1,18,18,1,1,24627.9733700889
01/01/2017 18:00:00,1,1,19,19,1,1,26012.3214264992
01/01/2017 19:00:00,1,1,20,20,1,1,25529.5989823086
01/01/2017 20:00:00,1,1,21,21,1,1,24851.7210521129
01/01/2017 21:00:00,1,1,22,22,1,1,23403.2122288821
01/01/2017 22:00:00,1,1,23,23,1,1,21738.0044076466
01/01/2017 23:00:00,1,1,24,24,1,1,20680.2208264046
02/01/2017,1,2,1,25,1,2,20264.3880413821
02/01/2017 01:00:00,1,2,2,26,1,2,19707.0669337352
02/01/2017 02:00:00,1,2,3,27,1,2,19733.6255964237
02/01/2017 03:00:00,1,2,4,28,1,2,20360.300331544
02/01/2017 04:00:00,1,2,5,29,1,2,20836.9077463391
02/01/2017 05:00:00,1,2,6,30,1,2,22420.2091892775
02/01/2017 06:00:00,1,2,7,31,1,2,23436.5782304653
02/01/2017 07:00:00,1,2,8,32,1,2,23598.6335806479
02/01/2017 08:00:00,1,2,9,33,1,2,24111.2497833801
02/01/2017 09:00:00,1,2,10,34,1,2,24929.6751375763
02/01/2017 10:00:00,1,2,11,35,1,2,25226.7521519464
02/01/2017 11:00:00,1,2,12,36,1,2,25630.1734579233
02/01/2017 12:00:00,1,2,13,37,1,2,25453.5863005141
02/01/2017 13:00:00,1,2,14,38,1,2,25234.8899017189
02/01/2017 14:00:00,1,2,15,39,1,2,24989.9046219224
02/01/2017 15:00:00,1,2,16,40,1,2,24807.529260835
02/01/2017 16:00:00,1,2,17,41,1,2,24804.7472679854
02/01/2017 17:00:00,1,2,18,42,1,2,25889.0737942778
02/01/2017 18:00:00,1,2,19,43,1,2,27358.7788685071
02/01/2017 19:00:00,1,2,20,44,1,2,26835.7475598644
02/01/2017 20:00:00,1,2,21,45,1,2,26240.5831967675
02/01/2017 21:00:00,1,2,22,46,1,2,24762.0225939207
02/01/2017 22:00:00,1,2,23,47,1,2,22806.1319173265
02/01/2017 23:00:00,1,2,24,48,1,2,21375.8954074417
03/01/2017,1,3,1,49,1,3,20851.4107155885
03/01/2017 01:00:00,1,3,2,50,1,3,20529.3849128253
03/01/2017 02:00:00,1,3,3,51,1,3,20450.3757287418
03/01/2017 03:00:00,1,3,4,52,1,3,21016.4078296294
03/01/2017 04:00:00,1,3,5,53,1,3,21540.5633877072
