Year,IRPDemandHIG,IRPDemandLOW,IRPDemandREF,IRPDemandLOWDelEVs
2019,14.52316188,14.52316188,14.52316188,14.52316188
2020,13.79620604,13.79620604,13.79620604,13.79620604
2021,13.45883044,13.45883044,13.45883044,13.45883044
2022,11.34871144,11.34871144,11.34871144,11.34871144
2023,10.81161144,10.81161144,10.81161144,10.81161144
2024,10.62405039,10.62405039,10.62405039,10.62405039
2025,10.58685337,10.58685337,10.58685337,10.58685337
2026,10.58685337,10.58685337,10.58685337,10.58685337
2027,10.58685337,10.58685337,10.58685337,10.58685337
2028,10.58785337,10.58785337,10.58785337,10.58785337
2029,10.58685337,10.58685337,10.58685337,10.58685337
2030,10.58685337,10.58685337,10.58685337,10.58685337
2031,10.58685337,10.58685337,10.58685337,10.58685337
2032,10.58685337,10.58685337,10.58685337,10.58685337
2033,10.58685337,10.58685337,10.58685337,10.58685337
2034,10.58685337,10.58685337,10.58685337,10.58685337
2035,10.58685337,10.58685337,10.58685337,2.068464255
2036,10.58685337,10.58685337,10.58685337,2.068464255
2037,10.58685337,10.58685337,10.58685337,2.068464255
2038,10.58685337,10.58685337,10.58685337,2.068464255
2039,10.58685337,10.58685337,10.58685337,2.068464255
2040,10.58685337,10.58685337,10.58685337,2.068464255
2041,10.58685337,10.58685337,10.58685337,2.068464255
2042,10.58685337,10.58685337,10.58685337,2.068464255
2043,10.58685337,10.58685337,10.58685337,2.068464255
2044,10.58685337,10.58685337,10.58685337,2.068464255
2045,10.58685337,10.58685337,10.58685337,2.068464255
2046,10.58685337,10.58685337,10.58685337,2.068464255
2047,10.58685337,10.58685337,10.58685337,2.068464255
2048,10.58685337,10.58685337,10.58685337,2.068464255
2049,10.58685337,10.58685337,10.58685337,2.068464255
2050,10.58685337,10.58685337,10.58685337,2.068464255
