Year,IRPDemandHIG,IRPDemandLOW,IRPDemandREF,IRPDemandLOWDelEVs,IRPDemandREFMozalStop
2019,14523161.88,14523161.88,14523161.88,14523161.88,14523161.88
2020,13796206.04,13796206.04,13796206.04,13796206.04,13796206.04
2021,13458830.44,13458830.44,13458830.44,13458830.44,13458830.44
2022,11348711.44,11348711.44,11348711.44,11348711.44,11348711.44
2023,10811611.44,10811611.44,10811611.44,10811611.44,10811611.44
2024,10624050.39,10624050.39,10624050.39,10624050.39,10624050.39
2025,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2026,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2027,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2028,10587853.37,10587853.37,10587853.37,10587853.37,10587853.37
2029,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2030,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2031,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2032,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2033,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2034,10586853.37,10586853.37,10586853.37,10586853.37,10586853.37
2035,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2036,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2037,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2038,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2039,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2040,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2041,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2042,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2043,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2044,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2045,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2046,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2047,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2048,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2049,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
2050,10586853.37,10586853.37,10586853.37,2068464.26,2068464.26
