,Eastern Cape_export,Limpopo_export,Mpumalanga_export,Gauteng_export,Western Cape_export,Northern Cape_export,Hydra Central_export,Kwazulu Natal_export,North West_export,Free State_export,export_balance,total_export,Mozal_separated_full_profile
01/01/2017 00:00,0,65.1105612,58.67521503,0,0,43.34394917,0,0,0.378549774,21.76661203,189.2748872,189.2748872,942.0091324
01/01/2017 01:00,0,74.5368535,67.16983891,0,0,49.61901004,0,0,0.433353799,24.91784347,216.6768997,216.6768997,942.0091324
01/01/2017 02:00,0,74.41687437,67.06171818,0,0,49.53914021,0,0,0.432656246,24.87773417,216.3281232,216.3281232,942.0091324
01/01/2017 03:00,0,71.80773963,64.71046304,0,0,47.80224528,0,0,0.417486858,24.00549435,208.7434292,208.7434292,942.0091324
01/01/2017 04:00,0,73.34930363,66.09966315,0,0,48.82846085,0,0,0.42644944,24.52084278,213.2247198,213.2247198,942.0091324
01/01/2017 05:00,0,76.18431241,68.65446758,0,0,50.7157196,0,0,0.442932049,25.46859281,221.4660244,221.4660244,942.0091324
01/01/2017 06:00,0,63.07414088,56.84006882,0,0,41.9883089,0,0,0.366710121,21.08583198,183.3550607,183.3550607,938.4513815
01/01/2017 07:00,0,73.69903983,66.41483241,0,0,49.06127942,0,0,0.42848279,24.63776041,214.2413949,214.2413949,942.0091324
01/01/2017 08:00,0,72.02064829,64.9023284,0,0,47.94397808,0,0,0.418724699,24.07667021,209.3623497,209.3623497,942.0091324
01/01/2017 09:00,0,86.93781213,78.3451214,0,0,57.87429936,0,0,0.505452396,29.06351278,252.7261981,252.7261981,942.0091324
01/01/2017 10:00,0,89.33719729,80.50735802,0,0,59.47156448,0,0,0.51940231,29.86563282,259.7011549,259.7011549,942.0091324
01/01/2017 11:00,0,87.520991,78.87066049,0,0,58.26252017,0,0,0.508842971,29.25847083,254.4214855,254.4214855,942.0091324
01/01/2017 12:00,0,89.1259998,80.3170347,0,0,59.3309708,0,0,0.518174417,29.795029,259.0872087,259.0872087,942.0091324
01/01/2017 13:00,0,85.32207563,76.88907979,0,0,56.79870733,0,0,0.496058579,28.52336831,248.0292896,248.0292896,942.0091324
01/01/2017 14:00,0,82.9530966,74.75424403,0,0,55.22168349,0,0,0.482285445,27.73141311,241.1427227,241.1427227,942.0091324
01/01/2017 15:00,0,80.29315336,72.35720216,0,0,53.45096547,0,0,0.466820659,26.8421879,233.4103295,233.4103295,942.0091324
01/01/2017 16:00,0,86.33956184,77.80600049,0,0,57.47604553,0,0,0.501974197,28.86351631,250.9870984,250.9870984,942.0091324
01/01/2017 17:00,0,81.75133087,73.67125747,0,0,54.42167084,0,0,0.475298435,27.32966003,237.6492177,237.6492177,942.0091324
01/01/2017 18:00,0,88.09054634,79.38392258,0,0,58.64167184,0,0,0.512154339,29.4488745,256.0771696,256.0771696,942.0091324
01/01/2017 19:00,0,87.99024563,79.29353531,0,0,58.57490189,0,0,0.511571196,29.41534374,255.7855978,255.7855978,942.0091324
01/01/2017 20:00,0,82.3772231,74.23528826,0,0,54.83832584,0,0,0.478937344,27.53889726,239.4686718,239.4686718,942.0091324
01/01/2017 21:00,0,79.88418446,71.9886546,0,0,53.17871582,0,0,0.464442933,26.70546864,232.2214664,232.2214664,942.0091324
01/01/2017 22:00,0,76.51496252,68.95243715,0,0,50.9358326,0,0,0.444854433,25.57912991,222.4272166,222.4272166,942.0091324
01/01/2017 23:00,0,75.24797501,67.81067515,0,0,50.09240197,0,0,0.437488227,25.15557304,218.7441134,218.7441134,942.0091324
02/01/2017 00:00,0,74.53691932,67.16989822,0,0,49.61905385,0,0,0.433354182,24.91786547,216.677091,216.677091,942.0091324
02/01/2017 01:00,0,77.03002377,69.41659119,0,0,51.27870769,0,0,0.447848975,25.75131609,223.9244877,223.9244877,942.0091324
02/01/2017 02:00,0,74.10425733,66.77999934,0,0,49.33103177,0,0,0.430838705,24.77322556,215.4193527,215.4193527,942.0091324
02/01/2017 03:00,0,71.32111007,64.27193059,0,0,47.47829711,0,0,0.414657617,23.84281296,207.3288084,207.3288084,942.0091324
02/01/2017 04:00,0,71.15670642,64.12377613,0,0,47.36885398,0,0,0.413701781,23.78785244,206.8508907,206.8508907,942.0091324
02/01/2017 05:00,0,71.95114859,64.83969786,0,0,47.89771229,0,0,0.418320631,24.0534363,209.1603157,209.1603157,942.0091324
02/01/2017 06:00,0,71.36500809,64.31148985,0,0,47.50751992,0,0,0.414912838,23.85748817,207.4564189,207.4564189,942.0091324
02/01/2017 07:00,0,75.67734629,68.19760857,0,0,50.37823343,0,0,0.439984571,25.29911286,219.9922857,219.9922857,942.0091324
02/01/2017 08:00,0,84.4569491,76.10945995,0,0,56.22279461,0,0,0.491028774,28.2341545,245.5143869,245.5143869,942.0091324
02/01/2017 09:00,0,88.23388948,79.51309808,0,0,58.73709503,0,0,0.51298773,29.49679445,256.4938648,256.4938648,942.0091324
02/01/2017 10:00,0,87.48999255,78.84272585,0,0,58.24188458,0,0,0.508662747,29.24810797,254.3313737,254.3313737,942.0091324
02/01/2017 11:00,0,86.04129227,77.53721106,0,0,57.27748817,0,0,0.500240071,28.7638041,250.1200357,250.1200357,942.0091324
02/01/2017 12:00,0,86.87574942,78.2891928,0,0,57.83298436,0,0,0.505091566,29.04276507,252.5457832,252.5457832,942.0091324
02/01/2017 13:00,0,86.55773563,78.00261059,0,0,57.62128331,0,0,0.503242649,28.93645232,251.6213245,251.6213245,942.0091324
02/01/2017 14:00,0,86.28105309,77.75327459,0,0,57.43709639,0,0,0.50163403,28.8439567,250.8170148,250.8170148,942.0091324
02/01/2017 15:00,0,86.46006748,77.91459569,0,0,57.55626585,0,0,0.502674811,28.90380163,251.3374055,251.3374055,942.0091324
02/01/2017 16:00,0,86.71239879,78.14198728,0,0,57.72424222,0,0,0.504141853,28.98815657,252.0709267,252.0709267,942.0091324
02/01/2017 17:00,0,85.59961375,77.13918681,0,0,56.98346381,0,0,0.497672173,28.61614995,248.8360865,248.8360865,942.0091324
02/01/2017 18:00,0,88.75316284,79.98104791,0,0,59.0827741,0,0,0.516006761,29.67038874,258.0033804,258.0033804,942.0091324
02/01/2017 19:00,0,90.57496333,81.62278673,0,0,60.29554245,0,0,0.526598624,30.27942088,263.299312,263.299312,942.0091324
02/01/2017 20:00,0,85.67062718,77.20318147,0,0,57.03073728,0,0,0.498085042,28.6398899,249.0425209,249.0425209,942.0091324
02/01/2017 21:00,0,81.60680308,73.5410144,0,0,54.32545903,0,0,0.474458157,27.28134405,237.2290787,237.2290787,942.0091324
02/01/2017 22:00,0,80.0102843,72.10229108,0,0,53.26266019,0,0,0.465176072,26.74762411,232.5880358,232.5880358,942.0091324
02/01/2017 23:00,0,77.81788453,70.12658199,0,0,51.80318476,0,0,0.452429561,26.01469977,226.2147806,226.2147806,942.0091324
